Ano;Nº Convênio;Nome Convenente;UF;Tipo Ente Convenente;Objeto Convênio;Situação Convênio;Nome Concedente;Valor Convênio;Valor Contrapartida;Valor Liberado;Valor Última Liberação;Data Publicação;Data Início Vigência;Data Fim Vigência
2016;828057;MUNICIPIO DE VALENTIM GENTIL;SP;Municipal;Juninao Valentim Gentil-Sp 2016;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 470.934,00;R$ 2.066,00;R$ 470.934,00;R$ 470.934,00;20/05/2016;23/05/2016;11/07/2016
2016;828056;TURVELANDIA PREFEITURA MUNICIPAL;GO;Municipal;13O Expotur;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 358.641,00;R$ 359,00;R$ 358.641,00;R$ 358.641,00;25/05/2016;30/05/2016;19/07/2016
2016;827955;POCO VERDE PREFEITURA;SE;Municipal;Realizacao Do Sao Joao Da Tradicao 2016 Em Sua 13A Edicao;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 146.000,00;R$ 1.000,00;R$ 146.000,00;R$ 146.000,00;18/05/2016;27/05/2016;12/07/2016
2016;827954;MUNICIPIO DE BOQUIM;SE;Municipal;Micareta 2016;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 209.700,00;R$ 300,00;R$ 209.700,00;R$ 209.700,00;12/05/2016;06/05/2016;22/06/2016
2016;827951;MUNICIPIO DE ITABERABA;BA;Municipal;Sao Joao - Arraia Da Ita 2016,;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 90.000,00;R$ 10.000,00;R$ 90.000,00;R$ 90.000,00;23/05/2016;08/06/2016;25/07/2016
2016;827307;MUNICIPIO DE AMARGOSA;BA;Municipal;Sao Joao 2016- Amargosa - A Cidade Do Forro.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 99.900,00;R$ 100,00;R$ 99.900,00;R$ 99.900,00;17/05/2016;09/06/2016;26/07/2016
2016;826997;SECRETARIA DE ESTADO DO ESPORTE, TURISMO E LAZER DO DISTRITO;DF;Estadual;Celebracao De Chegada E Revezamento Da Tocha Olimpica Brasilia 2016;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 250.000,00;R$ 16.438,00;R$ 250.000,00;R$ 250.000,00;27/04/2016;15/04/2016;03/06/2016
2016;825393;CALDAS NOVAS PREFEITURA;GO;Municipal;Carnaval Da Familia 2016;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 1.000.000,00;R$ 30.000,00;R$ 1.000.000,00;R$ 1.000.000,00;18/01/2016;31/12/2015;10/03/2016
2016;824899;TAMANDARE PREFEITURA;PE;Municipal;Acoes Promocionais Para Difundir O Potencial Turistico Do Municipio De Tamandare/Pe.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 500.000,00;R$ 1.002,00; R$ -   ; R$ -   ;14/01/2016;28/12/2015;26/09/2016
2016;824890;MUNICIPIO DE SIRINHAEM;PE;Municipal;Acoes Promocionais Para Difundir O Potencial Turistico Do Municipio De Sirinhaem/Pe.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 500.000,00;R$ 1.002,00; R$ -   ; R$ -   ;14/01/2016;28/12/2015;26/09/2016
2016;824887;MUNICIPIO DE GARANHUNS;PE;Municipal;Acoes Promocionais Para Difundir O Potencial Turistico Do Municipio De Garanhuns/Pe.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 1.000.000,00;R$ 3.039,00; R$ -   ; R$ -   ;13/01/2016;28/12/2015;26/09/2016
2016;824370;MUNICIPIO DE CONCEICAO DAS ALAGOAS;MG;Municipal;Conceicao Folia 2016;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 148.500,00;R$ 1.500,00;R$ 148.500,00;R$ 148.500,00;13/01/2016;31/12/2015;09/03/2016
2016;824323;FUNDACAO MUNICIPAL DE ACAO CULTURAL;AL;Municipal;Festival Maceio Verao 2016.;Anulado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 292.800,00;R$ 12.200,00; R$ -   ; R$ -   ;14/01/2016;30/12/2015;04/03/2016
2015;824004;MUNICIPIO DE NATAL;RN;Municipal;Festa De Santos Reis Do Municipio De Natal 2016;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 105.600,00;R$ 4.400,00;R$ 105.600,00;R$ 105.600,00;24/12/2015;18/12/2015;04/03/2016
2016;823648;SANTA ROSA DO TOCANTINS PREFEITURA MUNICIPAL;TO;Municipal;Carnaval De Santa Rosa Do Tocantins Carnafolia, De 05/02 A 09/02/2016;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 1.000,00;R$ 100.000,00;R$ 100.000,00;13/01/2016;15/12/2015;10/03/2016
2015;823646;MUNICIPIO DE PORTO NACIONAL;TO;Municipal;Realizacao Do Reveillon 2016 Em Porto Nacional To.;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 178.200,00;R$ 1.800,00;R$ 178.200,00;R$ 178.200,00;17/12/2015;14/12/2015;02/02/2016
2016;823645;MUNICIPIO DE XAMBIOA;TO;Municipal;Carnaval 2016 De Xambioa.;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 440.359,00;R$ 7.741,00;R$ 440.359,00;R$ 440.359,00;07/01/2016;16/12/2015;09/03/2016
2016;823643;MUNICIPIO DE ITABORAI;RJ;Municipal;Carnaval De Itaborai 2016;Anulado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 282.000,00;R$ 13.000,00; R$ -   ; R$ -   ;14/01/2016;30/12/2015;20/04/2016
2015;823642;MUNICIPIO DE BALNEARIO ARROIO DO SILVA;SC;Municipal;Megareveillon 2016 No Municipio De Balneario Arroio Do Silva/Sc;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 99.500,00;R$ 500,00;R$ 99.500,00;R$ 99.500,00;22/12/2015;16/12/2015;28/02/2016
2015;823472;CUMBE PREFEITURA;SE;Municipal;Carnaval 2016;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 150.000,00;R$ 1.400,00;R$ 150.000,00;R$ 150.000,00;22/12/2015;16/12/2015;09/03/2016
2015;823471;PREFEITURA MUNICIPAL DE MIRA ESTRELA;SP;Municipal;Festividades De Reveillon Em Mira Estrela - Sp;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 170.000,00;R$ 1.000,00;R$ 170.000,00;R$ 170.000,00;18/12/2015;14/12/2015;29/02/2016
2015;823470;LIMOEIRO PREFEITURA;PE;Municipal;Realizacao Da 124A Festa De Sao Sebastiao De Limoeiro/Pe.;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 400.000,00;R$ 18.000,00;R$ 400.000,00;R$ 400.000,00;31/12/2015;24/12/2015;24/02/2016
2015;823445;MUNICIPIO DE VALENTIM GENTIL;SP;Municipal;Festividades De Final De Ano Em Valentim Gentil-Sp;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 260.000,00;R$ 1.000,00;R$ 260.000,00;R$ 260.000,00;16/12/2015;07/12/2015;23/02/2016
2015;823433;MUNICIPIO DE MARACANAU - PREFEITURA MUNICIPAL;CE;Municipal;Sao Joao De Maracanau 2016.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 1.222.116,00;R$ 93.682,00;R$ 1.222.116,00;R$ 1.222.116,00;18/12/2015;10/12/2015;30/09/2016
2015;822795;MUNICIPIO DE JUCURUTU;RN;Municipal;32O Natal Em Jucurutu O Rn Celebra Aqui;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 99.790,00;R$ 210,00;R$ 99.790,00;R$ 99.790,00;17/12/2015;09/12/2015;24/02/2016
2015;822793;MUNICIPIO DE PRADO;BA;Municipal;Reveillon Prado 2016;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 1.010,00;R$ 100.000,00;R$ 100.000,00;17/12/2015;16/12/2015;31/01/2016
2015;822242;MUNICIPIO DE AGUIARNOPOLIS;TO;Municipal;Iv Revelon De Aguiarnopolis Tocantins;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 4.000,00;R$ 100.000,00;R$ 100.000,00;17/12/2015;15/12/2015;02/02/2016
2015;821745;MUNICIPIO DE TRAMANDAI;RS;Municipal;Natal Ondas De Luz;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 125.000,00;R$ 1.250,00;R$ 125.000,00;R$ 125.000,00;02/12/2015;27/11/2015;19/01/2016
2015;821584;MUNICIPIO DE NATAL;RN;Municipal;Festival De Musica De Natal 2015;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 307.200,00;R$ 12.800,00;R$ 307.200,00;R$ 307.200,00;17/12/2015;11/12/2015;01/02/2016
2015;821101;MUNICIPIO DE SANTA FE DO SUL;SP;Municipal;Campanha De Divulgacao E Marketing Impressa E Digital Da Estancia Turistica De Santa Fe Do Sul-Sp.;Anulado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 250.000,00;R$ 300,00; R$ -   ; R$ -   ;02/12/2015;30/11/2015;31/12/2016
2015;820873;MUNICIPIO DE AFRANIO;PE;Municipal;Realizacao Do Festejo Do Senhor Do Bonfim.;Prestação de Contas em Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 250.000,00;R$ 10.000,00;R$ 250.000,00;R$ 250.000,00;27/11/2015;08/12/2015;30/01/2016
2015;820870;MUNICIPIO DE MAUES;AM;Municipal;Xxxvi - Festa Do Guarana - Contratacao De Show De Artista Nacional;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 200.000,00;R$ 6.000,00;R$ 200.000,00;R$ 200.000,00;20/11/2015;16/11/2015;29/12/2015
2015;820132;MUNICIPIO DE BOQUIM;SE;Municipal;46A Festa Da Laranja;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 120.000,00;R$ 200,00;R$ 120.000,00;R$ 120.000,00;18/11/2015;10/11/2015;31/12/2015
2015;819169;MUNICIPIO DE CAPAO DA CANOA;RS;Municipal;Reveillon 2016;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 124.875,00;R$ 125,00;R$ 124.875,00;R$ 124.875,00;10/12/2015;15/12/2015;01/02/2016
2015;819162;MUNICIPIO DE INDIAPORA;SP;Municipal;Festividades De Reveillon Em Indiapora - Sp;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 1.000,00;R$ 100.000,00;R$ 100.000,00;22/12/2015;17/12/2015;28/02/2016
2015;819160;PREFEITURA MUNICIPAL DE MACEDONIA;SP;Municipal;Festividades De Final De Ano Em Macedonia - Sp;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 170.000,00;R$ 1.000,00;R$ 170.000,00;R$ 170.000,00;17/12/2015;07/12/2015;22/02/2016
2015;819117;MUNICIPIO DE PONTES E LACERDA;MT;Municipal;Reveillon De Pontes E Lacerda 2015.;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 96.000,00;R$ 4.000,00;R$ 96.000,00;R$ 96.000,00;10/12/2015;15/12/2015;29/02/2016
2015;819085;MUNICIPIO DE LAGES;SC;Municipal;Realizacao Do Evento Natal Felicidade 2015;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 248.000,00;R$ 5.000,00;R$ 248.000,00;R$ 248.000,00;26/11/2015;20/11/2015;29/01/2016
2015;818824;PARDINHO PREFEITURA;SP;Municipal;Realizacao Do 7O Festival De Musica Raiz De Pardinho (Fesmurp);Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 2.000,00;R$ 100.000,00;R$ 100.000,00;28/10/2015;21/10/2015;08/12/2015
2015;818745;MUNICIPIO DE MIRASSOL D'OESTE;MT;Municipal;12A Feirarte - Feira De Artesanato, Gastronomia, Festival De Dancas E Teatro;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 4.000,00;R$ 100.000,00;R$ 100.000,00;23/10/2015;14/10/2015;02/12/2015
2015;818170;MUNICIPIO DE NATAL;RN;Municipal;416 Aniversario Da Cidade Do Natal/Rn.;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 343.680,00;R$ 14.320,00;R$ 343.680,00;R$ 343.680,00;17/12/2015;10/12/2015;25/02/2016
2015;817786;MUNICIPIO DE PINDAMONHANGABA;SP;Municipal;Realizacao Do 12O Festival Da Primavera;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 131.670,00;R$ 1.330,00;R$ 131.670,00;R$ 131.670,00;25/09/2015;11/09/2015;04/11/2015
2015;817690;MUNICIPIO DE SAPIRANGA;RS;Municipal;Xxxii Festa Das Rosas.;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 500.000,00;R$ 6.710,30;R$ 500.000,00;R$ 500.000,00;23/10/2015;19/10/2015;21/01/2016
2015;817565;PREFEITURA MUNICIPAL DE ANDARAI;BA;Municipal;Realizacao Da Festa Do Vaqueiro De Ubiraita, No Municipio De Andarai/Ba.;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 4.000,00;R$ 100.000,00;R$ 100.000,00;30/09/2015;14/09/2015;29/12/2015
2015;817382;MUNICIPIO DE CURVELANDIA;MT;Municipal;Realizacao Da 12A Festa Do Queijo Nos Dias 02 A 04 De Outubro De 2015.;Anulado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 4.000,00; R$ -   ; R$ -   ;10/09/2015;20/08/2015;05/11/2015
2015;817366;MUNICIPIO DE ABAIRA;BA;Municipal;Xv Festival Da Cachaca Abaira - Contratacao De Artista;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 4.000,00;R$ 100.000,00;R$ 100.000,00;11/09/2015;04/09/2015;19/10/2015
2015;817219;PREFEITURA MUNICIPAL DE MARECHAL FLORIANO;ES;Municipal;Xvi Festival Italo-Germanico (Italemanha) De Marechal Floriano - Es;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 170.000,00;R$ 1.000,00;R$ 170.000,00;R$ 170.000,00;31/08/2015;14/08/2015;05/10/2015
2015;817147;PREFEITURA MUNICIPAL DE MARECHAL FLORIANO;ES;Municipal;6 Festival Da Madeira Em Marechal Floriano-Es;Prestação de Contas Aprovada com Ressalvas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 190.000,00;R$ 1.000,00;R$ 190.000,00;R$ 190.000,00;13/08/2015;07/08/2015;22/10/2015
2015;817057;GURJAO PREFEITURA;PB;Municipal;16A Edicao Do Bode Na Rua;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 1.000,00;R$ 100.000,00;R$ 100.000,00;30/07/2015;13/07/2015;26/09/2015
2015;816988;MUNICIPIO DE MARACANAU - PREFEITURA MUNICIPAL;CE;Municipal;Sao Joao De Maracanau 2015.;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 300.000,00;R$ 17.750,00;R$ 300.000,00;R$ 300.000,00;01/07/2015;25/06/2015;30/10/2015
2015;816982;CAMPINA GRANDE PREFEITURA;PB;Municipal;Realizacao Do Maior Sao Joao Do Mundo/2015.;Anulado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 200.000,00;R$ 10.000,00; R$ -   ; R$ -   ;29/06/2015;17/06/2015;30/10/2015
